battery_count,battery_power_mw,battery_energy_mwh,usable_soc_headroom_mwh,activation_probability,mfrr_capacity_price_multiplier,stacked_total_value_eur,fcr_only_total_value_eur,delta_vs_fcr_only_eur,is_mfrr_worthwhile,stacked_local_savings_eur,stacked_local_savings_pct,stacked_fcr_revenue_eur,stacked_mfrr_capacity_revenue_eur,stacked_expected_mfrr_activation_revenue_eur,stacked_min_soc_mwh,stacked_max_soc_mwh,stacked_constraint_violation_count,stacked_savings_floor_pass,annualized_delta_eur,upfront_enablement_cost_eur,annual_operating_cost_eur,risk_buffer_eur,operating_days,confidence_factor,effective_operating_days,fixed_cost_burden_eur_per_day,target_payback_years,required_daily_delta_for_target_payback_eur,annual_net_incremental_value_eur,payback_years,payback_gap_to_target_eur_per_day
1,1.0,2.0,1.6,0.05,1.5,508.83656912913455,512.4558565153417,-3.6192873862071337,false,292.96489060542854,0.14229780310662843,193.41528049739023,22.3125,0.14389802631578946,0.2,1.7736842105263158,0,true,-868.6289726897121,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-7868.628972689712,,-53.619287386207134
1,1.0,2.0,1.6,0.05,1.75,512.2634706757642,512.4558565153417,-0.1923858395774687,false,291.91783381872483,0.14178923062830887,188.04548883072357,32.15625,0.14389802631578946,0.2,1.7736842105263158,0,true,-46.172601498592485,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-7046.1726014985925,,-50.19238583957747
1,1.0,2.0,1.6,0.05,2.0,514.5747595634691,512.4558565153417,2.118903048127436,true,289.24421886027585,0.14049061244182895,172.38664267687744,52.8,0.14389802631578946,0.2,1.7736842105263158,0,true,508.5367315505846,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-6491.463268449415,,-47.881096951872564
1,1.0,2.0,1.6,0.1,0.5,474.06634260081836,512.4558565153417,-38.38951391452332,false,274.0087506322943,0.13309049820403626,193.51979591589244,6.25,0.2877960526315789,0.2,1.7473684210526317,0,true,-9213.483339485596,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16213.483339485596,,-88.38951391452332
1,1.0,2.0,1.6,0.1,0.75,477.19134260081836,512.4558565153417,-35.26451391452332,false,274.0087506322943,0.13309049820403626,193.51979591589244,9.375,0.2877960526315789,0.2,1.7473684210526317,0,true,-8463.483339485596,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-15463.483339485596,,-85.26451391452332
1,1.0,2.0,1.6,0.1,1.0,480.31634260081836,512.4558565153417,-32.13951391452332,false,274.0087506322943,0.13309049820403626,193.51979591589244,12.5,0.2877960526315789,0.2,1.7473684210526317,0,true,-7713.483339485597,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-14713.483339485596,,-82.13951391452332
1,1.0,2.0,1.6,0.1,1.25,483.44134260081836,512.4558565153417,-29.01451391452332,false,274.0087506322943,0.13309049820403626,193.51979591589244,15.625,0.2877960526315789,0.2,1.7473684210526317,0,true,-6963.483339485597,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-13963.483339485596,,-79.01451391452332
1,1.0,2.0,1.6,0.1,1.5,486.56634260081836,512.4558565153417,-25.88951391452332,false,274.0087506322943,0.13309049820403626,193.51979591589244,18.75,0.2877960526315789,0.2,1.7473684210526317,0,true,-6213.483339485597,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-13213.483339485596,,-75.88951391452332
1,1.0,2.0,1.6,0.1,1.75,488.3524373607447,512.4558565153417,-24.103419154596963,false,271.91463705888737,0.13207335324739736,188.1500042492258,28.0,0.2877960526315789,0.2,1.7473684210526317,0,true,-5784.820597103271,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-12784.820597103271,,-74.10341915459696
1,1.0,2.0,1.6,0.1,2.0,487.39636129000064,512.4558565153417,-25.05949522534104,false,266.5674071419894,0.12947611687443752,172.49115809537966,48.05,0.2877960526315789,0.2,1.7473684210526317,0,true,-6014.278854081849,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-13014.27885408185,,-75.05949522534104
1,1.0,2.0,1.6,0.15,0.5,472.8055789172178,512.4558565153417,-39.650277598123864,false,263.7417373012695,0.1281036431633107,203.56964753700095,5.0625,0.43169407894736833,0.2,1.7210526315789474,0,true,-9516.066623549727,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-16516.066623549727,,-89.65027759812386
1,1.0,2.0,1.6,0.15,0.75,475.3368289172178,512.4558565153417,-37.119027598123864,false,263.7417373012695,0.1281036431633107,203.56964753700095,7.59375,0.43169407894736833,0.2,1.7210526315789474,0,true,-8908.566623549727,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-15908.566623549727,,-87.11902759812386
1,1.0,2.0,1.6,0.15,1.0,477.8680789172178,512.4558565153417,-34.587777598123864,false,263.7417373012695,0.1281036431633107,203.56964753700095,10.125,0.43169407894736833,0.2,1.7210526315789474,0,true,-8301.066623549727,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-15301.066623549727,,-84.58777759812386
1,1.0,2.0,1.6,0.15,1.25,480.3993289172178,512.4558565153417,-32.056527598123864,false,263.7417373012695,0.1281036431633107,203.56964753700095,12.65625,0.43169407894736833,0.2,1.7210526315789474,0,true,-7693.566623549727,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-14693.566623549727,,-82.05652759812386
1,1.0,2.0,1.6,0.15,1.5,482.9305789172178,512.4558565153417,-29.525277598123864,false,263.7417373012695,0.1281036431633107,203.56964753700095,15.1875,0.43169407894736833,0.2,1.7210526315789474,0,true,-7086.066623549727,25000.0,5000.0,2000.0,300,0.8,240.0,29.166666666666668,5.0,50.0,-14086.066623549727,,-79.52527759812386
