_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1233936,2026-06-24T17:45:00,2026-06-24T15:45:00,SE4,121.16,EUR-MWh
1232651,2026-06-24T17:45:00,2026-06-24T15:45:00,SE2,116.1,EUR-MWh
1232699,2026-06-24T17:45:00,2026-06-24T15:45:00,SE3,119.65,EUR-MWh
1232487,2026-06-24T17:30:00,2026-06-24T15:30:00,SE2,109.19,EUR-MWh
1233743,2026-06-24T17:30:00,2026-06-24T15:30:00,SE1,107.8,EUR-MWh
1233088,2026-06-24T17:30:00,2026-06-24T15:30:00,SE4,113.72,EUR-MWh
1232830,2026-06-24T17:30:00,2026-06-24T15:30:00,SE3,112.37,EUR-MWh
1233058,2026-06-24T17:15:00,2026-06-24T15:15:00,SE3,107.21,EUR-MWh
1232705,2026-06-24T17:15:00,2026-06-24T15:15:00,SE2,104.32,EUR-MWh
1233586,2026-06-24T17:15:00,2026-06-24T15:15:00,SE1,103.05,EUR-MWh
1233325,2026-06-24T17:15:00,2026-06-24T15:15:00,SE4,108.45,EUR-MWh
1233524,2026-06-24T17:00:00,2026-06-24T15:00:00,SE2,88.64,EUR-MWh
1232726,2026-06-24T17:00:00,2026-06-24T15:00:00,SE4,98.14,EUR-MWh
1232875,2026-06-24T17:00:00,2026-06-24T15:00:00,SE1,87.52,EUR-MWh
1233883,2026-06-24T17:00:00,2026-06-24T15:00:00,SE3,95.31,EUR-MWh
1233147,2026-06-24T16:45:00,2026-06-24T14:45:00,SE4,104.89,EUR-MWh
1233903,2026-06-24T16:45:00,2026-06-24T14:45:00,SE1,99.84,EUR-MWh
1232450,2026-06-24T16:45:00,2026-06-24T14:45:00,SE2,101.2,EUR-MWh
1233389,2026-06-24T16:45:00,2026-06-24T14:45:00,SE3,103.78,EUR-MWh
1233813,2026-06-24T16:30:00,2026-06-24T14:30:00,SE4,97.6,EUR-MWh
1232974,2026-06-24T16:30:00,2026-06-24T14:30:00,SE2,94.42,EUR-MWh
1232749,2026-06-24T16:30:00,2026-06-24T14:30:00,SE1,93.25,EUR-MWh
1232495,2026-06-24T16:30:00,2026-06-24T14:30:00,SE3,96.64,EUR-MWh
1232739,2026-06-24T16:15:00,2026-06-24T14:15:00,SE2,90.81,EUR-MWh
1233179,2026-06-24T16:15:00,2026-06-24T14:15:00,SE3,92.85,EUR-MWh
1233244,2026-06-24T16:15:00,2026-06-24T14:15:00,SE1,89.74,EUR-MWh
1233131,2026-06-24T16:15:00,2026-06-24T14:15:00,SE4,93.73,EUR-MWh
1233192,2026-06-24T16:00:00,2026-06-24T14:00:00,SE4,88.84,EUR-MWh
1233876,2026-06-24T16:00:00,2026-06-24T14:00:00,SE1,85.33,EUR-MWh
1233698,2026-06-24T16:00:00,2026-06-24T14:00:00,SE2,86.27,EUR-MWh
1232600,2026-06-24T16:00:00,2026-06-24T14:00:00,SE3,88.07,EUR-MWh
1233681,2026-06-24T15:45:00,2026-06-24T13:45:00,SE2,87.83,EUR-MWh
1232511,2026-06-24T15:45:00,2026-06-24T13:45:00,SE1,86.66,EUR-MWh
1233500,2026-06-24T15:45:00,2026-06-24T13:45:00,SE4,90.45,EUR-MWh
1233650,2026-06-24T15:45:00,2026-06-24T13:45:00,SE3,89.72,EUR-MWh
1233173,2026-06-24T15:30:00,2026-06-24T13:30:00,SE2,75.19,EUR-MWh
1233230,2026-06-24T15:30:00,2026-06-24T13:30:00,SE1,74.2,EUR-MWh
1233676,2026-06-24T15:30:00,2026-06-24T13:30:00,SE4,77.47,EUR-MWh
1232958,2026-06-24T15:30:00,2026-06-24T13:30:00,SE3,76.82,EUR-MWh
1232618,2026-06-24T15:15:00,2026-06-24T13:15:00,SE1,74.82,EUR-MWh
1233550,2026-06-24T15:15:00,2026-06-24T13:15:00,SE3,76.65,EUR-MWh
1233775,2026-06-24T15:15:00,2026-06-24T13:15:00,SE4,77.09,EUR-MWh
1233788,2026-06-24T15:15:00,2026-06-24T13:15:00,SE2,75.53,EUR-MWh
1233545,2026-06-24T15:00:00,2026-06-24T13:00:00,SE4,59.35,EUR-MWh
1233780,2026-06-24T15:00:00,2026-06-24T13:00:00,SE3,59.2,EUR-MWh
1233771,2026-06-24T15:00:00,2026-06-24T13:00:00,SE1,58.56,EUR-MWh
1233202,2026-06-24T15:00:00,2026-06-24T13:00:00,SE2,58.81,EUR-MWh
1232533,2026-06-24T14:45:00,2026-06-24T12:45:00,SE2,75.6,EUR-MWh
1232430,2026-06-24T14:45:00,2026-06-24T12:45:00,SE4,77.16,EUR-MWh
1233641,2026-06-24T14:45:00,2026-06-24T12:45:00,SE3,76.72,EUR-MWh
1233286,2026-06-24T14:45:00,2026-06-24T12:45:00,SE1,74.9,EUR-MWh
1232572,2026-06-24T14:30:00,2026-06-24T12:30:00,SE1,66.87,EUR-MWh
1232518,2026-06-24T14:30:00,2026-06-24T12:30:00,SE3,68.04,EUR-MWh
1232734,2026-06-24T14:30:00,2026-06-24T12:30:00,SE2,67.32,EUR-MWh
1233489,2026-06-24T14:30:00,2026-06-24T12:30:00,SE4,68.33,EUR-MWh
1233458,2026-06-24T14:15:00,2026-06-24T12:15:00,SE3,65.08,EUR-MWh
1233715,2026-06-24T14:15:00,2026-06-24T12:15:00,SE4,65.32,EUR-MWh
1233461,2026-06-24T14:15:00,2026-06-24T12:15:00,SE2,64.48,EUR-MWh
1233065,2026-06-24T14:15:00,2026-06-24T12:15:00,SE1,64.11,EUR-MWh
1233712,2026-06-24T14:00:00,2026-06-24T12:00:00,SE2,60.26,EUR-MWh
1233004,2026-06-24T14:00:00,2026-06-24T12:00:00,SE4,60.84,EUR-MWh
1233386,2026-06-24T14:00:00,2026-06-24T12:00:00,SE1,59.99,EUR-MWh
1233644,2026-06-24T14:00:00,2026-06-24T12:00:00,SE3,60.68,EUR-MWh
1232633,2026-06-24T13:45:00,2026-06-24T11:45:00,SE3,63.45,EUR-MWh
1233791,2026-06-24T13:45:00,2026-06-24T11:45:00,SE1,62.66,EUR-MWh
1232536,2026-06-24T13:45:00,2026-06-24T11:45:00,SE2,62.96,EUR-MWh
1232790,2026-06-24T13:45:00,2026-06-24T11:45:00,SE4,63.64,EUR-MWh
1233662,2026-06-24T13:30:00,2026-06-24T11:30:00,SE4,65.15,EUR-MWh
1233091,2026-06-24T13:30:00,2026-06-24T11:30:00,SE2,64.43,EUR-MWh
1233206,2026-06-24T13:30:00,2026-06-24T11:30:00,SE3,64.95,EUR-MWh
1232543,2026-06-24T13:30:00,2026-06-24T11:30:00,SE1,64.11,EUR-MWh
1233141,2026-06-24T13:15:00,2026-06-24T11:15:00,SE2,65.55,EUR-MWh
1232568,2026-06-24T13:15:00,2026-06-24T11:15:00,SE1,65.21,EUR-MWh
1232593,2026-06-24T13:15:00,2026-06-24T11:15:00,SE4,66.31,EUR-MWh
1233704,2026-06-24T13:15:00,2026-06-24T11:15:00,SE3,66.1,EUR-MWh
1232501,2026-06-24T13:00:00,2026-06-24T11:00:00,SE2,68.41,EUR-MWh
1232528,2026-06-24T13:00:00,2026-06-24T11:00:00,SE1,68.0,EUR-MWh
1233299,2026-06-24T13:00:00,2026-06-24T11:00:00,SE3,69.09,EUR-MWh
1233356,2026-06-24T13:00:00,2026-06-24T11:00:00,SE4,69.35,EUR-MWh
1233555,2026-06-24T12:45:00,2026-06-24T10:45:00,SE3,61.0,EUR-MWh
1232453,2026-06-24T12:45:00,2026-06-24T10:45:00,SE1,60.45,EUR-MWh
1233172,2026-06-24T12:45:00,2026-06-24T10:45:00,SE4,61.13,EUR-MWh
1233429,2026-06-24T12:45:00,2026-06-24T10:45:00,SE2,60.66,EUR-MWh
1232928,2026-06-24T12:30:00,2026-06-24T10:30:00,SE1,65.34,EUR-MWh
1233397,2026-06-24T12:30:00,2026-06-24T10:30:00,SE3,66.21,EUR-MWh
1233240,2026-06-24T12:30:00,2026-06-24T10:30:00,SE4,66.41,EUR-MWh
